nohup: ignoring input
1
      From worker 2:	Running on 1 Julia thread(s) [BLAS threads: 1]
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 745/5000 took 56.75s | ETA 18:33:35 | ∑L 0.025083626 | Lₜᵣ 0.024836376 | Lᵣ 0.00024724947 | Dₛₜₛₚ (GMM) 1.097 | Dₕ 0.371 | PE(20) 1.1745756 | α 0.805 | cond(B) 8.462 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 750/5000 took 55.41s | ETA 18:10:02 | ∑L 0.027723538 | Lₜᵣ 0.02747566 | Lᵣ 0.00024787738 | Dₛₜₛₚ (GMM) 1.237 | Dₕ 0.371 | PE(20) 1.203561 | α 0.806 | cond(B) 8.45 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 755/5000 took 56.72s | ETA 18:24:01 | ∑L 0.027445361 | Lₜᵣ 0.027196903 | Lᵣ 0.00024845867 | Dₛₜₛₚ (GMM) 1.335 | Dₕ 0.364 | PE(20) 1.1907116 | α 0.806 | cond(B) 8.504 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 760/5000 took 56.53s | ETA 18:16:53 | ∑L 0.0274808 | Lₜᵣ 0.02723161 | Lᵣ 0.0002491894 | Dₛₜₛₚ (GMM) 1.204 | Dₕ 0.367 | PE(20) 1.1806637 | α 0.806 | cond(B) 8.636 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 765/5000 took 56.75s | ETA 18:16:55 | ∑L 0.026795948 | Lₜᵣ 0.026546057 | Lᵣ 0.00024989076 | Dₛₜₛₚ (GMM) 1.248 | Dₕ 0.373 | PE(20) 1.1866213 | α 0.807 | cond(B) 8.728 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 770/5000 took 56.18s | ETA 18:03:18 | ∑L 0.028130312 | Lₜᵣ 0.027879827 | Lᵣ 0.00025048503 | Dₛₜₛₚ (GMM) 1.179 | Dₕ 0.372 | PE(20) 1.1790812 | α 0.807 | cond(B) 8.774 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 775/5000 took 56.21s | ETA 17:59:07 | ∑L 0.0266888 | Lₜᵣ 0.026437702 | Lᵣ 0.00025109816 | Dₛₜₛₚ (GMM) 1.121 | Dₕ 0.343 | PE(20) 1.135193 | α 0.807 | cond(B) 8.86 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 780/5000 took 56.41s | ETA 17:56:47 | ∑L 0.024987306 | Lₜᵣ 0.024735847 | Lᵣ 0.00025145858 | Dₛₜₛₚ (GMM) 1.277 | Dₕ 0.331 | PE(20) 1.1175487 | α 0.808 | cond(B) 8.753 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 785/5000 took 56.58s | ETA 17:53:42 | ∑L 0.025928529 | Lₜᵣ 0.025676798 | Lᵣ 0.0002517314 | Dₛₜₛₚ (GMM) 1.147 | Dₕ 0.357 | PE(20) 1.1412413 | α 0.809 | cond(B) 8.544 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 790/5000 took 56.78s | ETA 17:52:53 | ∑L 0.027969487 | Lₜᵣ 0.027717244 | Lᵣ 0.0002522438 | Dₛₜₛₚ (GMM) 1.019 | Dₕ 0.323 | PE(20) 1.1363835 | α 0.809 | cond(B) 8.528 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 795/5000 took 56.76s | ETA 17:49:47 | ∑L 0.028136112 | Lₜᵣ 0.027883265 | Lᵣ 0.00025284648 | Dₛₜₛₚ (GMM) 1.141 | Dₕ 0.34 | PE(20) 1.1616864 | α 0.809 | cond(B) 8.648 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 800/5000 took 56.04s | ETA 17:36:13 | ∑L 0.027583936 | Lₜᵣ 0.027330369 | Lᵣ 0.00025356782 | Dₛₜₛₚ (GMM) 0.939 | Dₕ 0.338 | PE(20) 1.1609992 | α 0.81 | cond(B) 8.837 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 805/5000 took 56.23s | ETA 17:33:50 | ∑L 0.02524682 | Lₜᵣ 0.024992675 | Lᵣ 0.00025414457 | Dₛₜₛₚ (GMM) 1.254 | Dₕ 0.353 | PE(20) 1.1166476 | α 0.81 | cond(B) 8.852 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 810/5000 took 56.28s | ETA 17:29:52 | ∑L 0.027193518 | Lₜᵣ 0.026938774 | Lᵣ 0.00025474458 | Dₛₜₛₚ (GMM) 1.124 | Dₕ 0.33 | PE(20) 1.1247058 | α 0.811 | cond(B) 8.865 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 815/5000 took 55.35s | ETA 17:10:47 | ∑L 0.026534459 | Lₜᵣ 0.026279502 | Lᵣ 0.00025495613 | Dₛₜₛₚ (GMM) 1.189 | Dₕ 0.337 | PE(20) 1.1519117 | α 0.811 | cond(B) 8.689 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 820/5000 took 56.0s | ETA 17:13:51 | ∑L 0.028363403 | Lₜᵣ 0.028107995 | Lᵣ 0.00025540864 | Dₛₜₛₚ (GMM) 1.208 | Dₕ 0.369 | PE(20) 1.1931875 | α 0.812 | cond(B) 8.681 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 825/5000 took 56.8s | ETA 17:19:33 | ∑L 0.025597837 | Lₜᵣ 0.025341427 | Lᵣ 0.00025641025 | Dₛₜₛₚ (GMM) 1.172 | Dₕ 0.317 | PE(20) 1.1187603 | α 0.812 | cond(B) 9.052 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 830/5000 took 56.77s | ETA 17:15:43 | ∑L 0.02768563 | Lₜᵣ 0.027429128 | Lᵣ 0.000256502 | Dₛₜₛₚ (GMM) 0.949 | Dₕ 0.324 | PE(20) 1.129569 | α 0.812 | cond(B) 8.776 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 835/5000 took 56.71s | ETA 17:10:35 | ∑L 0.028542839 | Lₜᵣ 0.028286178 | Lᵣ 0.00025666188 | Dₛₜₛₚ (GMM) 0.982 | Dₕ 0.339 | PE(20) 1.1873537 | α 0.813 | cond(B) 8.569 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 840/5000 took 56.33s | ETA 17:01:52 | ∑L 0.02606767 | Lₜᵣ 0.025810039 | Lᵣ 0.00025763168 | Dₛₜₛₚ (GMM) 1.218 | Dₕ 0.389 | PE(20) 1.1826764 | α 0.813 | cond(B) 8.808 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 845/5000 took 56.0s | ETA 16:53:19 | ∑L 0.028375968 | Lₜᵣ 0.028117739 | Lᵣ 0.00025822906 | Dₛₜₛₚ (GMM) 0.998 | Dₕ 0.36 | PE(20) 1.1260469 | α 0.814 | cond(B) 8.936 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 850/5000 took 55.92s | ETA 16:46:11 | ∑L 0.027573256 | Lₜᵣ 0.027314737 | Lᵣ 0.00025851838 | Dₛₜₛₚ (GMM) 1.113 | Dₕ 0.354 | PE(20) 1.151965 | α 0.814 | cond(B) 8.848 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 855/5000 took 56.05s | ETA 16:42:09 | ∑L 0.026687216 | Lₜᵣ 0.026427783 | Lᵣ 0.000259432 | Dₛₜₛₚ (GMM) 0.891 | Dₕ 0.363 | PE(20) 1.161232 | α 0.815 | cond(B) 9.099 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 860/5000 took 55.13s | ETA 16:23:30 | ∑L 0.028534675 | Lₜᵣ 0.028275395 | Lᵣ 0.00025927945 | Dₛₜₛₚ (GMM) 1.071 | Dₕ 0.345 | PE(20) 1.1425964 | α 0.815 | cond(B) 8.712 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 865/5000 took 56.18s | ETA 16:32:30 | ∑L 0.025368808 | Lₜᵣ 0.025108622 | Lᵣ 0.00026018484 | Dₛₜₛₚ (GMM) 0.925 | Dₕ 0.352 | PE(20) 1.1553721 | α 0.815 | cond(B) 9.078 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 870/5000 took 55.2s | ETA 16:13:26 | ∑L 0.025742734 | Lₜᵣ 0.02548254 | Lᵣ 0.00026019439 | Dₛₜₛₚ (GMM) 0.936 | Dₕ 0.351 | PE(20) 1.1356959 | α 0.816 | cond(B) 8.777 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 875/5000 took 56.74s | ETA 16:30:29 | ∑L 0.026034614 | Lₜᵣ 0.02577353 | Lᵣ 0.00026108237 | Dₛₜₛₚ (GMM) 1.215 | Dₕ 0.375 | PE(20) 1.1733524 | α 0.816 | cond(B) 9.087 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 880/5000 took 56.5s | ETA 16:23:04 | ∑L 0.029014135 | Lₜᵣ 0.028752994 | Lᵣ 0.00026114078 | Dₛₜₛₚ (GMM) 1.317 | Dₕ 0.344 | PE(20) 1.1483438 | α 0.816 | cond(B) 8.829 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 885/5000 took 56.52s | ETA 16:19:58 | ∑L 0.026981657 | Lₜᵣ 0.026719896 | Lᵣ 0.0002617615 | Dₛₜₛₚ (GMM) 1.001 | Dₕ 0.35 | PE(20) 1.17861 | α 0.818 | cond(B) 8.888 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 890/5000 took 56.32s | ETA 16:12:50 | ∑L 0.02654106 | Lₜᵣ 0.026278708 | Lᵣ 0.00026235255 | Dₛₜₛₚ (GMM) 1.186 | Dₕ 0.329 | PE(20) 1.127397 | α 0.818 | cond(B) 9.007 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 895/5000 took 56.08s | ETA 16:04:52 | ∑L 0.026994746 | Lₜᵣ 0.026731681 | Lᵣ 0.00026306594 | Dₛₜₛₚ (GMM) 1.133 | Dₕ 0.358 | PE(20) 1.1673088 | α 0.818 | cond(B) 9.132 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 900/5000 took 56.02s | ETA 15:58:04 | ∑L 0.026916556 | Lₜᵣ 0.02665352 | Lᵣ 0.00026303495 | Dₛₜₛₚ (GMM) 0.913 | Dₕ 0.364 | PE(20) 1.1368464 | α 0.818 | cond(B) 8.844 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 905/5000 took 55.49s | ETA 15:45:20 | ∑L 0.02736501 | Lₜᵣ 0.027101003 | Lᵣ 0.00026400754 | Dₛₜₛₚ (GMM) 0.963 | Dₕ 0.358 | PE(20) 1.1464261 | α 0.819 | cond(B) 9.198 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 910/5000 took 56.71s | ETA 15:57:29 | ∑L 0.028744241 | Lₜᵣ 0.028480269 | Lᵣ 0.00026397186 | Dₛₜₛₚ (GMM) 1.043 | Dₕ 0.342 | PE(20) 1.1443416 | α 0.819 | cond(B) 8.892 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 915/5000 took 56.66s | ETA 15:51:35 | ∑L 0.027523428 | Lₜᵣ 0.027258134 | Lᵣ 0.00026529384 | Dₛₜₛₚ (GMM) 1.001 | Dₕ 0.359 | PE(20) 1.1452484 | α 0.819 | cond(B) 9.376 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 920/5000 took 56.73s | ETA 15:49:41 | ∑L 0.02611203 | Lₜᵣ 0.025847059 | Lᵣ 0.0002649698 | Dₛₜₛₚ (GMM) 1.168 | Dₕ 0.368 | PE(20) 1.1661505 | α 0.82 | cond(B) 8.953 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 925/5000 took 56.82s | ETA 15:47:03 | ∑L 0.028959494 | Lₜᵣ 0.028693767 | Lᵣ 0.00026572632 | Dₛₜₛₚ (GMM) 0.964 | Dₕ 0.36 | PE(20) 1.1301591 | α 0.82 | cond(B) 9.166 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 930/5000 took 56.79s | ETA 15:44:05 | ∑L 0.028717536 | Lₜᵣ 0.028451297 | Lᵣ 0.00026623887 | Dₛₜₛₚ (GMM) 1.184 | Dₕ 0.362 | PE(20) 1.1353681 | α 0.82 | cond(B) 9.267 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 935/5000 took 56.63s | ETA 15:39:06 | ∑L 0.02740107 | Lₜᵣ 0.027134972 | Lᵣ 0.00026609696 | Dₛₜₛₚ (GMM) 0.992 | Dₕ 0.371 | PE(20) 1.1829377 | α 0.821 | cond(B) 8.885 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 940/5000 took 55.28s | ETA 15:17:20 | ∑L 0.029273288 | Lₜᵣ 0.029006287 | Lᵣ 0.00026700087 | Dₛₜₛₚ (GMM) 1.091 | Dₕ 0.342 | PE(20) 1.1297851 | α 0.821 | cond(B) 9.147 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 945/5000 took 56.25s | ETA 15:25:55 | ∑L 0.026828254 | Lₜᵣ 0.026561035 | Lᵣ 0.00026721804 | Dₛₜₛₚ (GMM) 0.937 | Dₕ 0.377 | PE(20) 1.1915436 | α 0.821 | cond(B) 9.0 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 950/5000 took 56.31s | ETA 15:20:53 | ∑L 0.027725616 | Lₜᵣ 0.027457561 | Lᵣ 0.00026805594 | Dₛₜₛₚ (GMM) 1.223 | Dₕ 0.366 | PE(20) 1.187599 | α 0.822 | cond(B) 9.277 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 955/5000 took 55.49s | ETA 15:04:17 | ∑L 0.026063628 | Lₜᵣ 0.02579534 | Lᵣ 0.0002682871 | Dₛₜₛₚ (GMM) 1.019 | Dₕ 0.362 | PE(20) 1.1428925 | α 0.823 | cond(B) 9.136 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 960/5000 took 56.77s | ETA 15:15:08 | ∑L 0.02746098 | Lₜᵣ 0.027192242 | Lᵣ 0.00026873627 | Dₛₜₛₚ (GMM) 0.85 | Dₕ 0.368 | PE(20) 1.1669624 | α 0.823 | cond(B) 9.127 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 965/5000 took 56.75s | ETA 15:10:43 | ∑L 0.025744755 | Lₜᵣ 0.02547529 | Lᵣ 0.000269466 | Dₛₜₛₚ (GMM) 1.213 | Dₕ 0.355 | PE(20) 1.1794947 | α 0.823 | cond(B) 9.357 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 970/5000 took 56.29s | ETA 14:59:55 | ∑L 0.026441319 | Lₜᵣ 0.02617164 | Lᵣ 0.0002696798 | Dₛₜₛₚ (GMM) 1.126 | Dₕ 0.356 | PE(20) 1.1755921 | α 0.824 | cond(B) 9.229 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 975/5000 took 55.49s | ETA 14:44:49 | ∑L 0.027314343 | Lₜᵣ 0.027044524 | Lᵣ 0.00026981952 | Dₛₜₛₚ (GMM) 1.101 | Dₕ 0.348 | PE(20) 1.1348346 | α 0.824 | cond(B) 8.969 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 980/5000 took 55.67s | ETA 14:42:42 | ∑L 0.027779518 | Lₜᵣ 0.027508732 | Lᵣ 0.00027078603 | Dₛₜₛₚ (GMM) 1.062 | Dₕ 0.36 | PE(20) 1.1621692 | α 0.824 | cond(B) 9.326 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 985/5000 took 56.48s | ETA 14:48:12 | ∑L 0.027372636 | Lₜᵣ 0.027101528 | Lᵣ 0.00027110823 | Dₛₜₛₚ (GMM) 1.167 | Dₕ 0.366 | PE(20) 1.183306 | α 0.825 | cond(B) 9.27 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 990/5000 took 56.21s | ETA 14:38:52 | ∑L 0.028302133 | Lₜᵣ 0.028030872 | Lᵣ 0.00027126135 | Dₛₜₛₚ (GMM) 1.187 | Dₕ 0.351 | PE(20) 1.1760557 | α 0.825 | cond(B) 9.064 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 995/5000 took 56.33s | ETA 14:34:42 | ∑L 0.026301496 | Lₜᵣ 0.02602911 | Lᵣ 0.0002723853 | Dₛₜₛₚ (GMM) 1.29 | Dₕ 0.353 | PE(20) 1.13905 | α 0.826 | cond(B) 9.445 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 1000/5000 took 56.38s | ETA 14:30:17 | ∑L 0.02537686 | Lₜᵣ 0.025104074 | Lᵣ 0.00027278572 | Dₛₜₛₚ (GMM) 1.255 | Dₕ 0.381 | PE(20) 1.1402669 | α 0.826 | cond(B) 9.496 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 1005/5000 took 56.39s | ETA 14:24:40 | ∑L 0.027342575 | Lₜᵣ 0.027069908 | Lᵣ 0.00027266683 | Dₛₜₛₚ (GMM) 0.926 | Dₕ 0.355 | PE(20) 1.1328889 | α 0.826 | cond(B) 9.147 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 1010/5000 took 56.06s | ETA 14:14:43 | ∑L 0.026085017 | Lₜᵣ 0.025811926 | Lᵣ 0.00027309105 | Dₛₜₛₚ (GMM) 1.16 | Dₕ 0.37 | PE(20) 1.1416422 | α 0.827 | cond(B) 9.189 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 1015/5000 took 56.6s | ETA 14:16:17 | ∑L 0.027931083 | Lₜᵣ 0.02765733 | Lᵣ 0.00027375363 | Dₛₜₛₚ (GMM) 0.816 | Dₕ 0.366 | PE(20) 1.1338724 | α 0.827 | cond(B) 9.294 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 1020/5000 took 56.12s | ETA 14:05:27 | ∑L 0.026580835 | Lₜᵣ 0.026306251 | Lᵣ 0.00027458352 | Dₛₜₛₚ (GMM) 1.316 | Dₕ 0.372 | PE(20) 1.1856041 | α 0.827 | cond(B) 9.541 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 1025/5000 took 55.94s | ETA 13:58:56 | ∑L 0.026778663 | Lₜᵣ 0.026503801 | Lᵣ 0.00027486117 | Dₛₜₛₚ (GMM) 1.133 | Dₕ 0.368 | PE(20) 1.1657116 | α 0.828 | cond(B) 9.461 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 1030/5000 took 55.67s | ETA 13:51:33 | ∑L 0.025474418 | Lₜᵣ 0.025199614 | Lᵣ 0.0002748037 | Dₛₜₛₚ (GMM) 1.131 | Dₕ 0.378 | PE(20) 1.1686249 | α 0.828 | cond(B) 9.161 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 1035/5000 took 56.57s | ETA 13:58:17 | ∑L 0.02757619 | Lₜᵣ 0.027300578 | Lᵣ 0.0002756127 | Dₛₜₛₚ (GMM) 1.134 | Dₕ 0.355 | PE(20) 1.1780112 | α 0.829 | cond(B) 9.402 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 1040/5000 took 56.46s | ETA 13:51:59 | ∑L 0.028790802 | Lₜᵣ 0.028514672 | Lᵣ 0.0002761292 | Dₛₜₛₚ (GMM) 1.001 | Dₕ 0.363 | PE(20) 1.1603514 | α 0.829 | cond(B) 9.475 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 1045/5000 took 56.48s | ETA 13:47:29 | ∑L 0.027404908 | Lₜᵣ 0.027128004 | Lᵣ 0.0002769053 | Dₛₜₛₚ (GMM) 1.214 | Dₕ 0.368 | PE(20) 1.1495869 | α 0.829 | cond(B) 9.706 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 1050/5000 took 56.5s | ETA 13:43:03 | ∑L 0.028977014 | Lₜᵣ 0.028699968 | Lᵣ 0.0002770458 | Dₛₜₛₚ (GMM) 1.041 | Dₕ 0.359 | PE(20) 1.1640149 | α 0.83 | cond(B) 9.557 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 1055/5000 took 56.13s | ETA 13:34:28 | ∑L 0.027894428 | Lₜᵣ 0.027617363 | Lᵣ 0.00027706413 | Dₛₜₛₚ (GMM) 1.244 | Dₕ 0.374 | PE(20) 1.1873096 | α 0.83 | cond(B) 9.294 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 1060/5000 took 56.46s | ETA 13:32:55 | ∑L 0.026063759 | Lₜᵣ 0.025786294 | Lᵣ 0.00027746576 | Dₛₜₛₚ (GMM) 0.982 | Dₕ 0.381 | PE(20) 1.1560163 | α 0.83 | cond(B) 9.299 
      From worker 2:	[delayed_forcing_solar_shPLRNN_GTF_0.4/CRSettings-ℳ_clippedShallowPLRNN-𝒪_Affine-M_16-H_800::001] Epoch 1065/5000 took 56.62s | ETA 13:30:03 | ∑L 0.0268908 | Lₜᵣ 0.026612535 | Lᵣ 0.00027826492 | Dₛₜₛₚ (GMM) 1.134 | Dₕ 0.323 | PE(20) 1.1576247 | α 0.83 | cond(B) 9.499 
